"name","COUNT","SUM(dur)","SUM(self_dur)","MIN(ts)","MAX(ts)"
"JIT compiling void java.util.zip.ZipFile$Source.initCEN(int) (kind=Baseline) from /apex/com.android.art/javalib/core-oj.jar",1,1112683,3699,542877111064957,542877111064957
"JIT compiling java.lang.Object android.content.ComponentName$1.createFromParcel(android.os.Parcel) (kind=Baseline) from /system/framework/framework.jar",1,1057083,13333,542876702283395,542876702283395
"MSG_WINDOW_FOCUS_CHANGED",2,1048568,562968,542877077030869,542877215754827
"VerifyClass androidx.compose.foundation.text.BasicTextFieldKt",1,1026615,797731,542877127374098,542877127374098
"VerifyClass live.gravitylabs.porthole.protocol.SetupEntry",1,998490,692031,542876666110556,542876666110556
"QueueSubmit",3,997994,171534,542877070342900,542877231391833
"JIT compiling void android.view.ViewRootImpl.processRawInputEvent(android.view.InputEvent) (kind=Baseline) from /system/framework/framework.jar!3",1,979557,12734,542879023228188,542879023228188
"ViewRootImpl#setFrameRateCategory no preference, reason unknown, -",4,977865,977865,542880190372408,542884093467827
"JIT compiling boolean android.content.Intent.migrateExtraStreamToClipData(android.content.Context) (kind=Baseline) from /system/framework/framework.jar",1,975912,3255,542877058343056,542877058343056
"JIT compiling void android.text.StaticLayout.calculateEllipsis(int, int, android.text.MeasuredParagraph, int, float, android.text.TextUtils$TruncateAt, int, float, android.text.TextPaint, boolean) (kind=Baseline) from /system/framework/framework.jar!3",1,971875,3125,542877180606572,542877180606572
"activityPause",2,952447,134009,542877037481416,542877072406494
"Recomposer:animation",3,949011,862552,542877210482874,542879282087433
"MSG_INITIAL_TOUCH_BOOST_TIMEOUT",4,944897,276876,542879305754204,542884093431577
"VerifyClass androidx.profileinstaller.DeviceProfileWriter",1,944740,767579,542877687743864,542877687743864
"VerifyClass io.ktor.client.plugins.api.ClientPluginBuilder",1,929063,912476,542877110034905,542877110034905
